,EN_tokens
use,160
languag,148
czech,128
system,126
annot,115
present,110
data,109
translat,94
depend,84
treebank,83
paper,75
model,68
result,67
task,64
base,64
english,63
describ,63
sentenc,57
analysi,57
verb,53
word,52
relat,51
machin,51
text,50
research,49
evalu,48
two,45
automat,43
train,43
inform,43
structur,43
natur,42
also,42
differ,42
lexicon,42
linguist,41
tool,41
valenc,40
pars,39
pragu,39
morpholog,38
one,37
syntact,37
new,37
develop,36
semant,36
method,36
express,36
manual,35
resourc,34
mean,34
gener,34
provid,34
corpu,33
collect,33
error,32
work,32
univers,32
studi,32
compar,31
featur,31
process,30
set,30
improv,29
statist,29
project,29
approach,28
parser,28
combin,27
represent,26
includ,26
introduc,26
show,26
avail,25
user,25
search,25
propos,25
discours,25
applic,25
dataset,24
three,24
perform,24
experi,24
pair,24
well,23
order,23
learn,23
addit,23
type,23
licens,22
tree,22
select,22
queri,22
extract,22
complex,21
design,21
domain,21
focu,21
recognit,21
sens,21
segment,21
talk,21
contain,21
form,20
allow,20
test,20
speech,20
possibl,20
archiv,20
histori,20
construct,20
descript,20
consist,19
dictionari,19
first,19
discuss,19
sourc,18
corpora,18
name,18
surfac,18
creat,18
softwar,18
sentiment,17
pronoun,17
connect,17
predic,17
framework,17
pdt,17
parallel,17
part,17
term,17
compon,17
tag,17
document,17
scheme,17
mt,17
detail,16
similar,16
analyz,16
aim,16
properti,16
formal,16
sever,16
dialog,16
version,16
main,15
link,15
demonstr,15
distribut,15
find,15
output,15
context,15
detect,15
emot,15
categori,14
style,14
aspect,14
entiti,14
contribut,14
exist,14
standard,14
case,14
repres,14
support,14
import,14
spoken,14
implement,14
variou,14
focus,14
target,14
transfer,14
score,13
phenomena,13
knowledg,13
exampl,13
lexic,13
current,13
align,13
light,13
corefer,13
mani,13
baselin,12
technolog,12
delexic,12
verbal,12
function,12
within,12
transcript,12
basic,12
make,12
specif,12
tune,12
complement,12
observ,12
qualiti,12
access,12
employ,12
topic,12
goal,12
nomin,11
dialogu,11
agreement,11
achiev,11
secondari,11
utter,11
et,11
share,11
registri,11
level,11
network,11
multiword,11
visual,11
tectomt,11
reason,11
repositori,11
contextu,11
public,11
larg,11
final,11
entri,11
problem,11
comparison,11
thesi,11
articl,11
czengvallex,10
given,10
direct,10
correct,10
state,10
infrastructur,10
http,10
build,10
explor,10
frame,10
recent,10
argument,10
rule,10
pattern,10
convers,10
subject,10
comput,10
way,10
principl,10
certain,10
platform,10
appli,10
clarin,10
point,10
theoret,9
plan,9
slavic,9
investig,9
opinion,9
layer,9
without,9
address,9
year,9
deep,9
particular,9
program,9
anchor,9
made,9
associ,9
extend,9
shoah,9
common,9
cover,9
tri,9
abstract,9
futur,9
rel,9
v,9
posit,9
adapt,9
techniqu,9
vallex,9
usc,9
particip,9
foundat,9
obtain,9
tracker,9
input,9
mainli,9
interest,9
paraphras,9
anaphor,9
previou,9
content,9
captur,8
bound,8
purpos,8
need,8
analys,8
weight,8
diagram,8
report,8
identifi,8
format,8
etc,8
second,8
noun,8
often,8
exploit,8
refer,8
produc,8
like,8
may,8
agent,8
success,8
abl,8
german,8
better,8
script,8
subtask,8
carri,8
classifi,8
novel,8
determin,8
facilit,8
overview,8
ud,8
team,8
smt,8
technic,8
survey,8
refuge,8
syntax,8
hour,8
rextractor,8
multilingu,8
help,7
submiss,7
institut,7
subset,7
area,7
legal,7
asr,7
short,7
compris,7
wmt15,7
googl,7
field,7
metric,7
attempt,7
reflex,7
therefor,7
advantag,7
databas,7
free,7
empir,7
degre,7
call,7
learner,7
simpl,7
fact,7
group,7
alreadi,7
basi,7
mwe,7
releas,7
shown,7
monolingu,7
accuraci,7
acoust,7
issu,7
suggest,7
time,7
methodolog,7
algorithm,7
charl,7
unsupervis,7
activ,7
interview,7
account,7
correspond,7
respons,7
retriev,7
requir,7
consid,7
hyperlink,7
could,6
nativ,6
dspace,6
opportun,6
amr,6
morphosyntact,6
question,6
isocat,6
increas,6
view,6
still,6
tier,6
whole,6
oral,6
howev,6
condit,6
ongo,6
malach,6
abil,6
less,6
hypothes,6
pcedt,6
enabl,6
extens,6
web,6
concept,6
contrast,6
larger,6
mose,6
disambigu,6
potenti,6
start,6
interpol,6
graphic,6
relev,6
fulli,6
polar,6
measur,6
servic,6
predict,6
take,6
directli,6
advanc,6
idea,6
small,6
node,6
workflow,6
bilingu,6
stanford,6
textual,6
onlin,6
togeth,6
spanish,6
gain,6
conduct,6
either,6
book,6
theori,6
consequ,5
scientif,5
engin,5
prove,5
unit,5
defin,5
adequ,5
amount,5
transform,5
accord,5
attribut,5
open,5
easi,5
interset,5
lead,5
extent,5
inventori,5
chapter,5
built,5
nametag,5
nlp,5
categor,5
hypothesi,5
deal,5
publish,5
along,5
right,5
follow,5
tagger,5
citat,5
moreov,5
whether,5
url,5
underli,5
concentr,5
thu,5
video,5
wmt,5
librari,5
perspect,5
procedur,5
voic,5
paramet,5
interoper,5
interact,5
bleu,5
solut,5
understand,5
spell,5
semev,5
identif,5
classif,5
deriv,5
intern,5
adposit,5
local,5
appropri,5
commun,5
record,5
concern,5
multimod,5
correl,5
individu,5
criteria,5
rich,5
number,5
mention,5
complet,5
via,5
serv,5
distinguish,5
object,5
inflect,5
realiz,5
origin,5
written,5
speaker,5
toolkit,5
primari,5
articul,5
simpli,5
track,5
relationship,5
educ,5
govern,5
class,4
experiment,4
digit,4
wide,4
least,4
frequenc,4
tagset,4
compil,4
element,4
cpa,4
lemma,4
freedom,4
school,4
see,4
suitabl,4
proper,4
pdev,4
crucial,4
morphodita,4
interlink,4
illustr,4
claus,4
typolog,4
last,4
separ,4
wsd,4
effect,4
bring,4
cite,4
mine,4
nation,4
memori,4
due,4
chang,4
loss,4
medic,4
sale,4
previous,4
influenc,4
bridg,4
impact,4
phrase,4
tectogrammat,4
resolut,4
summari,4
other,4
cvh,4
easili,4
sdp,4
subsequ,4
convert,4
look,4
submit,4
across,4
multipl,4
display,4
multimedia,4
step,4
attent,4
signific,4
respect,4
rather,4
significantli,4
outperform,4
outlin,4
map,4
independ,4
extractor,4
seem,4
much,4
close,4
physic,4
supervis,4
russian,4
thousand,4
telephon,4
per,4
vha,4
nlg,4
speak,4
crowdsourc,4
intend,4
trainabl,4
testimoni,4
even,4
higher,4
wit,4
four,4
although,4
jewish,4
far,4
richli,4
verifi,4
want,4
list,4
reduct,4
deploy,4
commerci,4
klcpos3,4
promis,4
chimera,4
pipelin,4
rank,4
variant,4
ccr,4
hybrid,4
remain,4
divers,4
ad,4
modul,4
core,4
grammar,4
accept,4
possess,4
increment,4
korektor,4
person,4
imag,4
manag,4
human,4
limit,4
challeng,4
give,4
consortium,3
mathemat,3
faculti,3
center,3
sell,3
devic,3
concord,3
induct,3
reconstruct,3
comment,3
third,3
inspir,3
ii,3
harmon,3
derinet,3
republ,3
martha,3
brief,3
raw,3
genocid,3
besid,3
koreferenčních,3
valuabl,3
palmer,3
attract,3
news,3
agenc,3
item,3
treex,3
setup,3
pilot,3
constitut,3
mostli,3
long,3
otherwis,3
decid,3
factor,3
request,3
actor,3
match,3
easier,3
architectur,3
decis,3
ten,3
effici,3
scale,3
usual,3
execut,3
cf,3
repeat,3
behaviour,3
occur,3
delet,3
suppos,3
fast,3
box,3
linear,3
best,3
audio,3
ufal,3
ir,3
index,3
absolut,3
navig,3
updat,3
acquisit,3
estim,3
acquir,3
devot,3
confid,3
space,3
numer,3
practic,3
definit,3
instead,3
put,3
unifi,3
themat,3
lack,3
slu,3
problemat,3
scope,3
frequent,3
competit,3
batch,3
transcrib,3
metadata,3
pose,3
se,3
nowaday,3
typů,3
seriou,3
assumpt,3
pro,3
na,3
roce,3
zero,3
coreferenti,3
taxonomi,3
resolv,3
dynam,3
yet,3
systemat,3
ua,3
engvallex,3
insight,3
decod,3
handl,3
distinct,3
parsito,3
come,3
special,3
boundari,3
get,3
idiom,3
mismatch,3
ask,3
optim,3
regard,3
modif,3
establish,3
nli,3
neural,3
creation,3
becom,3
phraseolog,3
organ,3
workshop,3
power,3
obligatori,3
high,3
shape,3
quantifi,3
conjunct,3
instanc,3
key,3
strategi,3
praguian,3
solv,3
seek,3
stage,3
singl,3
next,3
file,3
oper,3
vystadi,3
newli,3
french,3
interfac,3
expect,3
creativ,3
preced,3
modifi,3
grammat,3
hand,3
al,3
depfix,3
apposit,3
token,3
materi,3
quantit,3
pure,3
de,3
role,3
marneff,3
zeman,3
hamledt,3
adopt,3
environment,3
store,3
altern,3
enrich,3
introduct,3
tendenc,3
mstperl,3
almost,3
briefli,3
trend,3
rang,3
eu,3
author,3
interlingua,3
petrov,3
believ,3
lgpl,2
di,2
clef,2
ehealth,2
cc,2
review,2
minim,2
htk,2
cross,2
impos,2
orthograph,2
throughput,2
transit,2
clir,2
oracl,2
premodifi,2
kaldi,2
standalon,2
plu,2
brno,2
usag,2
výzkum,2
sequenc,2
czesl,2
deviat,2
avoid,2
fairli,2
discontinu,2
morphosyntax,2
approx,2
fair,2
schoolchildren,2
option,2
narodit,2
je,2
gecco,2
pdit,2
brně,2
born,2
partner,2
řetězců,2
pivot,2
str,2
östman,2
specifi,2
fri,2
swear,2
causal,2
drd,2
kind,2
paradigm,2
strukturu,2
patient,2
jazycích,2
paramor,2
jsme,2
seed,2
scene,2
angličtině,2
češtině,2
triangul,2
total,2
tend,2
return,2
scenario,2
ellipsi,2
adverbi,2
obituari,2
adequaci,2
attach,2
unweight,2
licenc,2
penn,2
eric,2
xue,2
dedic,2
top,2
editor,2
eia,2
summer,2
primarili,2
nearest,2
anaphora,2
comprehens,2
involv,2
check,2
bbn,2
legisl,2
toward,2
inhabit,2
genit,2
html,2
januari,2
approxim,2
recogn,2
speed,2
desir,2
section,2
svc,2
subordin,2
coordin,2
equival,2
reduc,2
grow,2
lexicograph,2
averag,2
semlex,2
central,2
nianwen,2
preserv,2
unseen,2
modern,2
lstm,2
caus,2
intent,2
tetreault,2
cltt,2
amend,2
offici,2
action,2
ran,2
mckeown,2
charact,2
coher,2
opposit,2
poster,2
hold,2
conclud,2
ground,2
us,2
packag,2
accompani,2
perplex,2
lower,2
chines,2
refin,2
vyrovnání,2
zájmen,2
kathi,2
hermjakob,2
ulf,2
ale,2
graph,2
koehn,2
philipp,2
knight,2
kevin,2
wmt14,2
cloudasr,2
scalabl,2
api,2
member,2
simultan,2
demand,2
strong,2
po,2
turn,2
subcategor,2
satisfactori,2
corrobor,2
grant,2
exemplifi,2
barrier,2
divid,2
unalign,2
led,2
probabl,2
mark,2
prior,2
assign,2
pragmat,2
logic,2
emphasi,2
full,2
throughout,2
volum,2
subtre,2
formul,2
feasibl,2
excel,2
summar,2
entrain,2
especi,2
inner,2
compromis,2
referenti,2
littl,2
clitic,2
interplay,2
valu,2
done,2
substanc,2
rate,2
econom,2
encod,2
particularli,2
esp,2
albeit,2
scienc,2
hard,2
variat,2
hire,2
treat,2
manner,2
none,2
partial,2
guidelin,2
recommend,2
approv,2
act,2
debat,2
overal,2
literatur,2
freeli,2
aid,2
beat,2
liter,2
cluster,2
treatment,2
consider,2
behind,2
indic,2
overcom,2
perl,2
demo,2
websit,2
might,2
explicitli,2
occurr,2
broad,2
realli,2
european,2
divis,2
bnc,2
mutual,2
firstli,2
ancora,2
assess,2
neurolinguist,2
begin,2
sampl,2
entir,2
reproduc,2
customiz,2
choic,2
ellis,2
synonymi,2
wordnet,2
shorten,2
persist,2
fundament,2
kingdom,2
characterist,2
highli,2
background,2
centr,2
judgement,2
wherea,2
survivor,2
latest,2
six,2
major,2
historiographi,2
recurr,2
disciplin,2
student,2
20th,2
centuri,2
polysemi,2
typic,2
reach,2
qtleap,2
anoth,2
past,2
conceptu,2
cql,2
subtitl,2
crosslingu,2
newer,2
preposit,2
util,2
move,2
reliabl,2
tv,2
retrain,2
programm,2
confirm,2
agre,1
nist,1
interlingu,1
českých,1
cder,1
ter,1
wer,1
normal,1
revis,1
nonliter,1
anaforická,1
sentbleu,1
microsoft,1
american,1
founder,1
který,1
referenc,1
encount,1
replac,1
anglických,1
korpusu,1
nois,1
distanc,1
receiv,1
awar,1
edit,1
stem,1
drawn,1
automatického,1
inher,1
secondli,1
vztažná,1
centrální,1
nebo,1
cumul,1
však,1
million,1
zájmena,1
skutečnostem,1
těmto,1
kvůli,1
proč,1
důvod,1
arab,1
surround,1
transduc,1
piec,1
vypracovali,1
algoritmu,1
particl,1
broader,1
foster,1
lab,1
monograph,1
vylepšení,1
shift,1
zaměřujem,1
proto,1
několika,1
valid,1
openoffic,1
market,1
undertak,1
ručně,1
finit,1
counterpart,1
analyzováni,1
lingvisticki,1
omiss,1
dále,1
omit,1
anatováni,1
judg,1
regardless,1
instal,1
ratio,1
byli,1
daných,1
must,1
soft,1
panel,1
terminolog,1
naıv,1
server,1
preprocess,1
furthermor,1
massiv,1
mode,1
compat,1
onto,1
cloud,1
webcol,1
shuffl,1
decad,1
overturn,1
uation,1
dsd,1
x,1
depart,1
korespond,1
denois,1
decre,1
vylepšuj,1
bed,1
promiss,1
dstc2,1
belong,1
percept,1
postprocess,1
kvalitu,1
richer,1
autoencod,1
variabl,1
svm,1
toefl11,1
blanchard,1
exact,1
doc,1
ayaspel,1
scarc,1
denc,1
nejen,1
tyto,1
ostatní,1
subform,1
readabl,1
safir,1
python,1
slovak,1
slightli,1
slovenian,1
croatian,1
všechni,1
place,1
polish,1
typi,1
walenti,1
west,1
reflect,1
ontonot,1
thesauri,1
gemet,1
transport,1
sd,1
verif,1
prefer,1
download,1
reveal,1
arrang,1
known,1
writer,1
40th,1
olymp,1
slovenia,1
neither,1
portorož,1
length,1
functor,1
confer,1
depl,1
beyond,1
lrec,1
yu,1
reus,1
presum,1
perceiv,1
brought,1
clara,1
mari,1
curi,1
initi,1
epistemolog,1
cours,1
importantli,1
theme,1
varieti,1
regular,1
predomin,1
revisit,1
hindsight,1
elementari,1
curriculum,1
merg,1
prompt,1
substitut,1
checker,1
monitor,1
25th,1
düsseldorf,1
automatioc,1
sdss,1
situat,1
bootstrap,1
weather,1
proceed,1
ignit,1
incorpor,1
effort,1
event,1
end,1
rest,1
fix,1
hundr,1
apach,1
size,1
usabl,1
valuat,1
suffici,1
sometim,1
sole,1
alon,1
face,1
auxiliari,1
w2c,1
join,1
vulgar,1
thirti,1
uniqu,1
equal,1
adcolloc,1
preliminari,1
ironi,1
count,1
depict,1
bodi,1
hypernym,1
broadli,1
matsumoto,1
terkourafi,1
maximum,1
entrophi,1
boom,1
plain,1
necessarili,1
took,1
live,1
dstc,1
belief,1
straková,1
greedi,1
30k,1
artifici,1
paralelním,1
therebi,1
around,1
ner,1
predefin,1
locat,1
conll09,1
fruit,1
similarli,1
swap,1
compact,1
endpoint,1
pid,1
extern,1
catalan,1
submitt,1
necess,1
ordinari,1
progress,1
unequivoc,1
inspect,1
agrovoc,1
spatial,1
composit,1
command,1
prepar,1
asid,1
pay,1
closer,1
thorough,1
bad,1
product,1
good,1
unavail,1
despit,1
interestingli,1
complementari,1
discrimin,1
side,1
modest,1
vp,1
reusabl,1
choos,1
except,1
allomorph,1
proposit,1
arisen,1
ascript,1
essenti,1
enviro,1
fusion,1
upon,1
ict,1
morphem,1
sloven,1
indispens,1
fragmentari,1
imagin,1
string,1
typograph,1
pc,1
enhanc,1
advic,1
unknown,1
crowdflow,1
doctor,1
interdisciplinari,1
trivial,1
filter,1
properli,1
gather,1
coverag,1
ensur,1
csenvi,1
pairwis,1
movi,1
ted,1
clean,1
difficult,1
meaning,1
replic,1
cooper,1
weak,1
vietnames,1
constrain,1
roth,1
yih,1
constraint,1
integ,1
dec,1
endang,1
vztahů,1
organiz,1
mff,1
uk,1
brows,1
fund,1
charg,1
promot,1
innov,1
lifecycl,1
award,1
financi,1
vauquoi,1
aea,1
social,1
compet,1
horizon,1
harri,1
zellig,1
headquart,1
utrecht,1
netherland,1
triangl,1
tradit,1
crawl,1
listr,1
planner,1
expens,1
slight,1
gap,1
roadmap,1
gave,1
udpc,1
guesser,1
decemb,1
wors,1
hopkin,1
busi,1
internet,1
lot,1
rise,1
constantli,1
unstructur,1
clamr,1
ucb,1
john,1
old,1
five,1
today,1
pack,1
daneš,1
drsc,1
survay,1
prescrib,1
prais,1
jako,1
než,1
understood,1
grmmatic,1
und,1
naiv,1
murder,1
artfiti,1
absent,1
control,1
infinit,1
pml,1
tred,1
real,1
tackl,1
františek,1
sail,1
thesauru,1
amalach,1
solvabl,1
depth,1
complic,1
unsuccess,1
reviv,1
earlier,1
famili,1
exclud,1
randomli,1
durat,1
unless,1
termin,1
invoic,1
actual,1
grade,1
urg,1
scrutini,1
seal,1
multilevel,1
prune,1
longer,1
perceptron,1
podrobili,1
článek,1
pilotní,1
srovnavací,1
interpret,1
tent,1
lesser,1
synonym,1
polysem,1
ruštině,1
synerget,1
určit,1
analýz,1
srovnatelných,1
textů,1
třech,1
naší,1
motivací,1
bylo,1
zjistit,1
lingvistick,1
tento,1
taken,1
lie,1
novelti,1
peopl,1
chain,1
fill,1
morflex,1
disregard,1
evok,1
claim,1
extralinguist,1
eas,1
circumst,1
tempor,1
iii,1
low,1
sinc,1
genr,1
armenian,1
costli,1
greatest,1
canon,1
těchto,1
které,1
ranker,1
former,1
phenomenon,1
ident,1
chat,1
videoclip,1
life,1
stori,1
narr,1
carpathian,1
ruthenia,1
czechoslovakia,1
faktori,1
oxford,1
handbook,1
proce,1
highlight,1
tricki,1
proven,1
anonym,1
fluent,1
postedit,1
eff,1
compl,1
recov,1
confus,1
ovlivňují,1
tuto,1
titl,1
encycloped,1
exce,1
fetch,1
judgment,1
highest,1
black,1
benchmark,1
insid,1
mediaev,1
bbc,1
terrier,1
alex,1
fli,1
thoroughli,1
misunderstand,1
shamu,1
embrac,1
world,1
některých,1
encourag,1
protect,1
copi,1
exclus,1
maintain,1
tractabl,1
infer,1
anticip,1
remedi,1
copyright,1
configur,1
play,1
reimplement,1
mst,1
ryan,1
mcdonald,1
ideal,1
reli,1
alway,1
smaller,1
mechan,1
unauthor,1
everybodi,1
matic,1
simul,1
run,1
framenet,1
explan,1
offer,1
autom,1
repeatedli,1
among,1
automatick,1
denot,1
wsj,1
whose,1
convey,1
sparsiti,1
semiautomat,1
prevail,1
multilay,1
compos,1
grammatem,1
assist,1
formem,1
uniformli,1
diverg,1
coars,1
kolu,1
prolifer,1
přešla,1
bezkofeinov,1
recepturu,1
kterou,1
používá,1
prevent,1
svojí,1
novou,1
exhibit,1
trigram,1
skosbas,1
participl,1
subsect,1
drawback,1
této,1
práci,1
představujem,1
podrobný,1
srovnávací,1
coke,1
formula,1
switch,1
customis,1
mstparser,1
theweightedmodelinterpolationperform,1
postgradu,1
gate,1
capek,1
destin,1
redistribut,1
vocabulari,1
id,1
compani,1
outcom,1
wast,1
speci,1
notic,1
bi2,1
capac,1
affect,1
examin,1
intrins,1
converg,1
benefit,1
ordin,1
nejmladších,1
compound,1
though,1
lexicographi,1
split,1
impoverish,1
doubl,1
british,1
sbírání,1
zkušeností,1
závodníků,1
modal,1
ungrammat,1
draw,1
unambigu,1
prerequisit,1
affix,1
constitu,1
transpar,1
commonli,1
peculiar,1
deverb,1
notion,1
multidataset,1
stand,1
cure,1
quantiti,1
environ,1
labour,1
cultiv,1
poorli,1
retun,1
conceiv,1
cancel,1
bid,1
substanti,1
webservic,1
answer,1
tabl,1
adjust,1
abolish,1
sketch,1
tripl,1
colloc,1
emerg,1
portabl,1
cpan,1
farsi,1
california,1
half,1
mclaa,1
guid,1
mtmonkey,1
calcul,1
permut,1
assum,1
motiv,1
driven,1
precis,1
endeavor,1
unlik,1
pupil,1
41st,1
deepli,1
fp,1
thank,1
uniform,1
7th,1
southern,1
holocaust,1
prototyp,1
lemmat,1
clear,1
conform,1
decompos,1
gentl,1
brain,1
explain,1
r,1
reader,1
know,1
combinatori,1
character,1
gloss,1
satisfi,1
indonesian,1
neg,1
xml,1
negat,1
datlow,1
analyt,1
enter,1
